date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:18:18	117/117	---MCZ	200	added ('OK')	text/plain	etag:%2237613-1722798530;gz%22	https://corteslucrativos.com.br/robots.txt		(from )
16:18:18	150575/150575	---MCZ	200	added ('OK')	text/html	etag:%2237605-1722796359;gz%22	https://corteslucrativos.com.br/	C:/Meus%20Sites/cortes%20lucrativos/corteslucrativos.com.br/index.html	(from )
16:18:18	22474/22474	---M-Z	200	added ('OK')	text/css	etag:%2257ca-65bf8d4f-212ec1a7d609b4f8;gz%22	https://corteslucrativos.com.br/wp-content/plugins/metform/public/assets/css/text-editor.css?ver=3.8.3	C:/Meus%20Sites/cortes%20lucrativos/corteslucrativos.com.br/wp-content/plugins/metform/public/assets/css/text-editorcd70.css	(from https://corteslucrativos.com.br/)
16:18:19	5756/5756	---M-Z	200	added ('OK')	text/css	etag:%22167c-661c7013-255975cd055efe0e;gz%22	https://corteslucrativos.com.br/wp-content/themes/hello-elementor/style.min.css?ver=3.0.1	C:/Meus%20Sites/cortes%20lucrativos/corteslucrativos.com.br/wp-content/themes/hello-elementor/style.min41fe.css	(from https://corteslucrativos.com.br/)
16:18:19	2033/2033	---M-Z	200	added ('OK')	application/rss+xml	etag:%222610565a97568f30650254e9635d27af%22	https://corteslucrativos.com.br/feed/	C:/Meus%20Sites/cortes%20lucrativos/corteslucrativos.com.br/feed/index.html	(from https://corteslucrativos.com.br/)
16:18:19	1662/1662	---M-Z	200	added ('OK')	application/rss+xml	etag:%222610565a97568f30650254e9635d27af%22	https://corteslucrativos.com.br/comments/feed/	C:/Meus%20Sites/cortes%20lucrativos/corteslucrativos.com.br/comments/feed/index.html	(from https://corteslucrativos.com.br/)
16:18:20	5131/5131	---M-Z	200	added ('OK')	text/css	etag:%22140b-661c7013-300e6ccb2e9b7910;gz%22	https://corteslucrativos.com.br/wp-content/themes/hello-elementor/theme.min.css?ver=3.0.1	C:/Meus%20Sites/cortes%20lucrativos/corteslucrativos.com.br/wp-content/themes/hello-elementor/theme.min41fe.css	(from https://corteslucrativos.com.br/)
16:18:20	7325/7325	---M-Z	200	added ('OK')	text/css	etag:%221c9d-661c7013-a22b655b4f111cb3;gz%22	https://corteslucrativos.com.br/wp-content/themes/hello-elementor/header-footer.min.css?ver=3.0.1	C:/Meus%20Sites/cortes%20lucrativos/corteslucrativos.com.br/wp-content/themes/hello-elementor/header-footer.min41fe.css	(from https://corteslucrativos.com.br/)
16:18:20	117332/117332	---M-Z	200	added ('OK')	text/css	etag:%221ca54-65883a2c-d6815f66447298df;gz%22	https://corteslucrativos.com.br/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.18.3	C:/Meus%20Sites/cortes%20lucrativos/corteslucrativos.com.br/wp-content/plugins/elementor/assets/css/frontend-lite.minf3b2.css	(from https://corteslucrativos.com.br/)
16:18:20	1168/1168	---M-Z	200	added ('OK')	text/css	etag:%22490-65bd5664-7adff98a2704b0fc;gz%22	https://corteslucrativos.com.br/wp-content/uploads/elementor/css/post-5.css?ver=1706907236	C:/Meus%20Sites/cortes%20lucrativos/corteslucrativos.com.br/wp-content/uploads/elementor/css/post-53fbc.css	(from https://corteslucrativos.com.br/)
16:18:20	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-65883a2c-acf05781b0020ac2;gz%22	https://corteslucrativos.com.br/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Meus%20Sites/cortes%20lucrativos/corteslucrativos.com.br/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://corteslucrativos.com.br/)
16:18:21	11339/11339	---M-Z	200	added ('OK')	text/css	etag:%222c4b-653ea3e3-b2efcb805f20f265;gz%22	https://corteslucrativos.com.br/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.15.0	C:/Meus%20Sites/cortes%20lucrativos/corteslucrativos.com.br/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min2c7c.css	(from https://corteslucrativos.com.br/)
16:18:21	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%22e7d0-65883a2c-7b7eb30553b76813;gz%22	https://corteslucrativos.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.18.3	C:/Meus%20Sites/cortes%20lucrativos/corteslucrativos.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.minf3b2.css	(from https://corteslucrativos.com.br/)
16:18:22	165984/165984	---M-Z	200	added ('OK')	text/css	etag:%2228860-65bd5665-7c47142d7c2917c6;gz%22	https://corteslucrativos.com.br/wp-content/uploads/elementor/css/global.css?ver=1706907237	C:/Meus%20Sites/cortes%20lucrativos/corteslucrativos.com.br/wp-content/uploads/elementor/css/global3ccd.css	(from https://corteslucrativos.com.br/)
16:18:22	56497/56497	---M-Z	200	added ('OK')	text/css	etag:%22dcb1-66ae831f-986311331a759ae2;gz%22	https://corteslucrativos.com.br/wp-content/uploads/elementor/css/post-1224.css?ver=1722712863	C:/Meus%20Sites/cortes%20lucrativos/corteslucrativos.com.br/wp-content/uploads/elementor/css/post-1224b295.css	(from https://corteslucrativos.com.br/)
